文物名称,时代,图片链接,分类,种类,文物简介
缂丝仙山楼阁图轴,明,http://www.dpm.org.cn/Uploads/Picture/dc/15737.jpg,织绣画,缂丝,缂丝仙山楼阁图轴，明，纵247厘米，横60厘米。图在本色地上彩缂崇山、翔鹤、楼阁、人物、竹石、小草和碧波等纹样。采用平缂、构缂、搭缂、长短戗等技法缂织，配色适宜，缂织精细。图中山石的表现深受大青绿山水绘画的影响，勾勒无皴，以石青、石绿敷彩，其色彩厚重，格调富丽。画面又有云雾缭绕、祥鹤飞舞，仿若仙境。
缂丝花卉册,明,http://www.dpm.org.cn/Uploads/Picture/dc/15729.jpg,织绣画,缂丝,缂丝花卉册，明，十二开，每开纵41厘米，横42厘米。清宫旧藏。花卉册在本色地上缂织茶花水仙、玉兰海棠、牡丹、碧桃芝竹、百合剪春罗、荷花蜻蜓、踯躅、芝兰、秋海棠、剪秋纱、蝴蝶花、梅花等各色花卉，每开均缂织而成，无着笔处。画幅采用平缂、构缂、木梳戗、长短戗、凤尾戗和掼缂等缂织技法，缂工细致，润色自然，描画不求形似，具有简逸风格的文人花鸟画风。山茶水仙、梅树灵竹和玉兰海棠三页上分别钤朱印“乾隆御览之宝”、“石渠宝笈”、“石渠定鉴”、“宝笈重编”、“乾清宫鉴藏宝”、“宣统御览”、“无逸斋精鉴玺”、“三希堂精鉴玺”、“乾隆鉴赏”、“宜子孙”、“宣统御览之宝”十一方鉴藏宝玺。《石渠宝笈续编》著录。
顾绣十六应真册,明,http://www.dpm.org.cn/Uploads/Picture/dc/13609.jpg,织绣画,顾绣,顾绣十六应真册，明，每开长28厘米，宽28厘米。清宫旧藏。册页共16开，画稿用白描技法，绣以米色绫为本，以线勾描物象轮廓，略施淡墨晕染，有明代画家吴彬、丁云鹏的人物画风格，笔墨简约而形神兼备，造型多夸张变幻，饶富装饰意趣，运笔遒劲，设色古朴典雅。顾绣刻意追摹画稿神韵，以墨色丝线和滚针技法为基础绣物象轮廓，又有以接针、松针、钉针、刻鳞针、鸡毛针等绣各类形象者，穷极巧变，以传达原作意趣，如十六开应真坐席并非简单地使用编席针，而是以滚针为基础勾勒线条绣制，第十一开的孔雀施以鸡毛针、刻鳞针来表现孔雀羽毛生动的质感。应真流畅的衣纹和生动祥和的面容不仅传达着原作的神韵，展现出顾绣擘丝细过毛发、运针灵活巧变的高超技艺，更体现了绣者绣作时虔诚的心态。山石树木则施笔墨皴染，绣、画合璧，风雅别致。册页每开下方均绣有“皇明顾绣”朱印。《清内府藏刺绣书画录》著录。
缂丝赵昌花卉图卷,明,http://www.dpm.org.cn/Uploads/Picture/2017/04/05/s58e443574edb3.jpg,织绣画,缂丝,缂丝赵昌花卉图卷，明，纵44厘米，横245厘米。清宫旧藏。这件缂丝作品以赵昌之画为粉本，运用齐缂、长短戗、木梳戗、凤尾戗、子母经和搭缂等技法缂织牡丹飞蝶、荷花、芙蓉翠鸟和雀梅4组写生花鸟。设色清丽典雅，清劲秀逸，多采用三晕色的配色方法，如荷叶正面用墨绿，叶脉用草绿，背面用黄绿，色度从深到浅逐层递减，过渡自然，表现出荷叶仰偃卷曲、柔媚秀雅的姿态和阴阳向背、光泽明暗的质感。飞蝶、栖鸟则捕捉其细部特征和灵动的神态予以精确的刻画，给人逼真酷肖的传神之感。卷首钤“乾隆御览之宝”、“石渠宝笈”、“御书房鉴藏玺”、“三希堂精鉴玺”、“宜子孙”、“嘉庆御览之宝”、“宣统御览之宝”。卷尾缂“赵昌制”款，缂“赵昌”和“玉川”二印，钤“乾隆鉴赏”、“宣统鉴赏”、“无逸斋精鉴玺”。这幅作品幅面宏大而手法细腻，画面无一处用笔，缂工极为精湛，将宋人花鸟画斤斤于形似逼真、刻画入微的风格表现得淋漓尽致，是明代中后期巨幅缂丝作品滥觞之时的优秀杰作。《石渠宝笈》和朱启钤《清内府藏刻丝书画录》著录。
缂丝瑶池吉庆图轴,明,http://www.dpm.org.cn/Uploads/Picture/2018/01/25/s5a696cad0ce58.jpg,织绣画,缂丝,缂丝瑶池吉庆图轴，明，纵260厘米，横205厘米。此图描绘了神话传说中西王母在西天瑶池庆寿的场景。9位仙女各捧寿礼，凤凰、仙鹤、天鹿、祥云、灵芝、青松、翠柏点缀其间，以强调吉庆祝寿的主题。此图轴宽两米有余，是现存明代最大的缂丝作品，可以想见其织机之巨大，工程之浩繁，在历代缂丝作品中亦属鲜见。其织缂并未因画幅巨大而粗率逊色，反而愈显精妙繁复，行梭运丝巧于变幻，除常见的平缂、搭缂外，细部晕色采用长短戗、木梳戗以及华丽的凤尾戗，仙女鬓角用长短戗技法使发丝自然写实，衣纹用构缂技法突出了飘逸轻柔的感觉，瑶池的水波纹及五彩祥云用惯缂和“结”的技法使之更具立体效果。此图轴画面布局饱满、大气，设色华丽精妙，是庆贺寿辰时之场合精美装饰品。
衣线绣文昌出行图轴,明,http://www.dpm.org.cn/Uploads/Picture/dc/12884.jpg,织绣画,鲁绣,衣线绣文昌出行图轴，明晚期，纵145厘米，横57厘米。此图轴在本色绫地上用衣线彩绣出古代神话传说中主宰功名利禄的文昌在出游途中小憩的场面。作品采取二色间晕的装饰方法，施以平针、套针、平金、钉线、网绣等针法绣制。衣线绣又称“鲁绣”，其绣线为双股捻线，纹样粗犷简约而质朴。此作品不但保持了鲁绣的风格，还将衣线放捻，并把苏绣中常见的劈丝绣线融于作品之中，粗中有细，相得益彰。刺绣者绣工娴熟精巧，人物的神态、动作和衣纹的褶皱都细腻逼真。尤其是对“水路”的留置掌握恰到好处，堪称衣线绣杰出的代表作品。
洒线绣武松打虎经皮面,明,http://www.dpm.org.cn/Uploads/Picture/dc/12881.jpg,织绣画,京绣,洒线绣武松打虎经皮面，明，长35厘米，宽15.5厘米。此经皮面以黄色二经绞直经纱为底衬，上以黄、红、蓝、绿、白等色衣线和绒线为绣线，采取2－3配色法，以反戗针、齐针、散套针、缉线、高绣、松针、滚针、刻鳞针、正戗等针法绣制武松打虎的场面。经面上部为一条一爪侧升龙，作戏珠式。中部绣一硕大的宝葫芦，葫芦轮廓内绣山岗、松树，武松头戴纱帽，身着公服袍，腰系公服带，足穿朝靴，左脚踩虎，左手按虎，右手高持棍棒，双目圆睁，用尽全身力气作打虎状。下部为缓缓流过的小溪。 作品构图巧妙，主题突出，层次分明，纹样豪放，设色明丽，绣工精细，是明代京绣中的佳品。此件绣品用于包佛经皮。
洒线绣绿地彩整枝菊花经书面,明,http://www.dpm.org.cn/Uploads/Picture/dc/10185.jpg,织绣画,京绣,洒线绣绿地彩整枝菊花经书面，明，纵30厘米，宽27厘米。此经书面以红色二经绞直经纱为底衬，用绿、红、黄、蓝等色衣线和绒线为绣线，采取正串、散套针、网绣、钉线、接针、斜缠针及反戗针等针技，运用三至四退晕法绣制花纹。经书面以菱形锦纹为地，上绣五彩云，中绣一棵盛开的菊花，下绣海水江涯纹。锦纹地用浅绿色衣线，以洒线绣工艺绣制，五彩云及菊花的叶片以光泽性较差的衣线绣制，菊花以光泽性较强的绒线绣制，形成暗地、暗叶、亮花的效果。其独特之处在于绣制菊花时采用反戗针技法在边缘起针处皆压一根较粗的强捻线，使花瓣边缘既齐整又凸出，富有层次感和立体效果。此经书面构图简练，用线巧妙，设色明快，浓艳自然，针脚齐整均匀，绣工娴熟精细，是明代京绣作品中的精品。
黄地桂兔纹妆花纱,明宣德,http://www.dpm.org.cn/Uploads/Picture/dc/487.jpg,匹料,锦,黄地桂兔纹妆花纱，明宣德，幅长47厘米，幅宽48.5厘米。清宫旧藏。此妆花纱以黄色经、纬线织平纹纱地，以棕、墨绿、桔黄、黄、白、蓝、浅粉等色线及圆金、圆银线为纹纬与地经交织成平纹花。构图为3行小兔，间饰菊花和牡丹。小兔皆仰首，或口衔灵芝，或口衔桂花。花纹全用挖梭工艺织成，故全部高出地子，具有很强的装饰性及立体效果。此妆花纱构图严谨，富有创意。用色艳丽古雅，织工细密精湛，为明早期南京云锦织物的精品。
顾绣相国逍遥图轴,明末,http://www.dpm.org.cn/Uploads/Picture/dc/13700.jpg,织绣画,顾绣,顾绣相国逍遥图轴，明末清初，长143厘米，宽40厘米。此图轴在本色绸地上彩绣云雾、竹林、溪水、廊桥、湖石、人物等纹样，表现了相国公在恬静幽雅的环境中独酌自饮的惬意生活场面。作品采取二色间晕的装饰方法，施以平针、套针、网针、滚针、缠针等针法绣制。画中纹样多以绣线勾勒，然后用石青、石绿、赭石等色渲染点苔，充分显示出顾绣之绣绘点染相结合的表现手法。作品既吸收了中国绘画勾线填彩的传统技法，又保持了彩色丝线在织物上游走的独特韵味，并通过着笔施色达到了工写兼顾、放逸自然的视觉效果。画上墨书“相国闲来何所乐，竹林深处独逍遥”。朱绣“露香园”和“虎头”款。此图轴绣工规整精细，设色晕染自然淡雅，是一件优秀的顾绣作品。
顾绣罗汉朝观音图轴,明末,http://www.dpm.org.cn/Uploads/Picture/dc/13696.jpg,织绣画,顾绣,顾绣罗汉朝观音图轴，明末，长120厘米，宽45 厘米。此图轴在本色绫地上彩绣神话中诸仙朝拜观音的故事。作品采取单晕色的装饰方法，人物、山石、云雾、树木、坡陀和花草等纹样以缠针、滚针、平金和钉线等针法绣制，然后用石绿、赭石和大红等色渲染。作品未作大面积铺绣，只在线条上运针勾描。画中人物在云雾间，视之有穿行游动感。画上朱绣“虎头”和“仲子篮生家女红”。此作品风格与明代画家丁云鹏的画风十分接近，构图新颖，线条舒展流畅，绘、绣搭配适宜，把顾绣半丝半彩的创作手法充分表现出来。
红地奔虎五毒妆花纱裱片,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/50570.jpg,匹料,未知,红色地虎镇五毒妆花纱裱片，明，长32厘米，宽10.7厘米。此裱片以平纹方孔纱组织为地，用彩色丝线和片金线，以妆花技法织虎镇五毒（蛇、蝎子、蜈蚣、壁虎和蟾蜍）图案。织工精细，纹样朴拙写实、生动自然，呈现出典型的明代织物的风格和特点。裱片所织纹样，反映了中国古代民间传统的端午习俗。其俗认为五月正值初夏，是各种病毒渐趋猖獗、多灾多难的“毒月”，病毒从五月初五端午日的午时起开始孳生，因此民间有避“五毒”之俗。通常人们在端午日采取洒石灰、喷雄黄酒、悬艾叶、插菖蒲、佩艾虎、沐浴兰汤等措施，以灭“五毒”，驱邪气。其中佩艾虎是指用艾枝叶制成虎形，或剪彩为虎，上粘艾叶，以此作为驱毒除病的厌胜之物。之所以以虎驱邪，是因为人们认为虎为百兽之长，雄健威猛，是能吃鬼魅魍魉的神兽。《风俗通》即云：“虎者阳物，百兽之长也，能噬食鬼魅，……亦避恶。”这件织物饰虎镇五毒图案，即表达了人们欲借猛虎之力以达驱毒避瘟、保佑平安的良好愿望。
点翠嵌珠石金龙凤冠,明万历,http://www.dpm.org.cn/Uploads/Picture/dc/21079.jpg,服饰,冠、带佩饰,凤冠，明万历，高35.5厘米，径20厘米，重2.95千克。1956年北京市昌平区定陵出土。凤冠主人是明神宗孝靖皇后。孝靖皇后生前的身份为皇贵妃，死后被追尊为皇后。凤冠是皇后的礼帽，是皇后在接受册命、拜谒宗庙祭祀祖先、参加朝会时所佩戴的。据明永乐三年（1405年）的《明会要》记载，当时规定皇后的凤冠为“九龙四凤冠，漆竹丝为圆框，冒以翡翠，上饰翠龙九金凤四，正中一龙衔大珠一，上有翠盖，下垂结珠，余皆口衔珠滴。珠翠云四十片，大珠花十二树，小珠花如大珠花三数”。此凤冠以髹漆细竹丝编制，通体饰翠鸟羽毛点翠的如意云片，18朵以珍珠、宝石所制的梅花环绕其间。冠前部饰有对称的翠蓝色飞凤一对。冠顶部等距排列金丝编制的金龙3条，其中左右两条口衔珠宝流苏。冠后部饰六扇珍珠、宝石制成的“博鬓”，呈扇形左右分开。冠口沿镶嵌红宝石组成的花朵一周。
《韩希孟宋元名迹册·洗马图》,明崇祯,http://www.dpm.org.cn/Uploads/Picture/dc/478.jpg,织绣画,顾绣,《韩希孟宋元名迹册·洗马图》，明崇祯，纵33.4厘米，宽24.5厘米。《洗马图》是在白色素缎地上绣成，画面上垂柳摇曳，树下一马夫正为一白色黑斑马刷洗，白马兴奋地在水波中昂首嘶鸣。此幅绣作完全模仿绘画的笔法用针刺绣而成，雄健的白马以顾绣中最擅长的擞和针顺其肌肉的纹理绣成，逼真写实。白马身上的斑点则完全依照绘画中的点绘法绣成，虽然黑色绣线已脱落，但其针法仍依稀可辨。此外，绣画中也多处用笔渲染，这种“半绘半绣”、以绣为主、辅之以画的手法是顾绣最基本的特征。这幅绣成的洗马图形象逼真，生动传神，设色淡雅，体现出顾绣淡彩渲染的特征。对页有董其昌题赞曰：“一鉴涵空，毛龙是浴。鉴逸九方，风横歕玉。屹然权奇，莫可羁束。逐电追云，成里在目。”此为明代刺绣艺人韩希孟代表作顾绣《韩希孟宋元名迹册》中的一幅，全册共8幅，原为梧州关伯珩先生收藏，1960年12月由其女关瑞梧捐献故宫博物院。
《韩希孟宋元名迹册·瑞鹿图》,明崇祯,http://www.dpm.org.cn/Uploads/Picture/dc/9976.jpg,织绣画,顾绣,"《韩希孟绣宋元名迹册·瑞鹿图》，明崇祯，纵33.4厘米，横24.5厘米。此图为《韩希孟绣宋元名迹册》之第二幅,在白色绫地上绣成。绣品描绘一只梅花鹿于桂花飘香的岸边悠闲踱步。在画面上，桂花树仅露有部分树底和枝叶，余则略去，但树底和枝叶两相呼应，仍使人感觉其形象之完整。小鹿以暗褐色皮毛配以黑色鹿角、白色斑点和炯炯的双目，活泼机敏，神采奕奕。鹿身以平套针绣出，毛发丝丝细密，纹理清晰毕现。水中寿石呈镂空状，用抢针法以深蓝、湖蓝和浅蓝晕色表现石之轮廓，间施浅绿、浅橙和淡黄色，虚空轻灵之象顿现。岸边之石则以散套针法为主，辅以点染，颇具水墨效果，具厚实之感。如此虚实相间，轻重有衡，明暗互补，使画面有灵动畅达之韵。对页为董其昌题诗：“六律分精，苍廼千岁。角峩而斑，含玉献瑞。拳石天香，咸具灵意。针丝生澜，绘之王会。”"
《韩希孟宋元名迹册·葡萄松鼠图》,明崇祯,http://www.dpm.org.cn/Uploads/Picture/dc/9989.jpg,织绣画,顾绣,《韩希孟绣宋元名迹册·葡萄松鼠图》，明崇祯，纵33.4厘米，宽24.5厘米。此图为《韩希孟绣宋元名迹册》之第六幅，在白色绫地上绣成。一根虬屈苍劲的葡萄藤盘曲而出，一只松鼠窜跃其上，似欲攫取成熟的累串果实。这是秋季自然界中倏忽即逝的一帧小景，作者敏锐地捕捉住这一瞬间，将其定格于画面。画幅上松鼠仰爬于葡萄藤上，活脱灵动的身姿和炯炯有神的眼睛，将松鼠警觉机敏、垂涎欲滴的神态刻画得惟妙惟肖，妙趣天成。在刺绣技法上，由于松鼠粗长的尾部在画面中占据显要位置，故刻画尤为精心，其茸毛劈丝如发，细密入微，从尾部中心到四周，毛发由浓密而至稀疏，及至边缘，细如毫丝，质感逼真。画幅配色鲜明，用色有深绿、浅绿、淡绿、黑、黑灰、黄、浅黄、蓝、浅蓝等。黑灰色的松鼠置身于淡绿色草坡和绿色葡萄叶及蓝色的葡萄之间，色彩反差大，给人以强烈的视觉冲击力。作品对细节的刻画逼真入微，如一片葡萄叶被虫蛀后形成的蛀洞和蛀洞边的枯黄色均反映了出来；葡萄叶色彩的深浅过渡自然，叶的主脉和支脉清晰可见；葡萄以蓝、淡蓝或淡蓝、浅白表现，反映出葡萄成熟度的不一致。这些细微之处无不显示出作者对生活细致深入的观察及其深厚的绣艺功力。对页为董其昌题诗：“宛有草龙，得之博望。翠幄珠苞，含浆作酿。文鼯睨之，翻腾欲上。慧指灵孅，玄工莫状。”
《韩希孟宋元名迹册·补衮图》,明崇祯,http://www.dpm.org.cn/Uploads/Picture/dc/9988.jpg,织绣画,顾绣,《韩希孟绣宋元名迹册·补衮图》，明崇祯，纵33.4厘米，宽24.5厘米。此图为《韩希孟绣宋元名迹册》之第三幅，在白色绫地上绣成。画面描绘一位女子端坐于圆凳上正神态专注地精心绣制龙纹衣装。女子头戴金线镶边簪钗，着交领橙色上衣和白地蓝花长裙，一袭蓝色霞帔飘曳垂地。其面容蛾眉杏眼，樱口桃腮，秀丽姣美。作者着意刻画人物的皓腕纤指，表现出女子手指的灵巧和动感。作品恰到好处地把握住了人物的面部和手部两处重点部位的刻画，塑造出一位端庄娴雅、秀外慧中的女子形象，富于浓厚的生活气息。此件绣品配色爽丽明快、鲜艳夺目而又自然和谐。针法精细，于细节的描绘尤为精心，力避雷同。如上衣的皱褶用深、浅橙色线以抢针法表现，而长裙的皱褶则以六七道淡绿色线斜长抛过，使衣纹线条流畅，质感甚佳。对页为董其昌题诗：“龙衮煌煌，不阙何补。我后之章，天孙是组。璀璨五丝，照耀千古。娈兮彼姝，实姿藻黼。”
《韩希孟宋元名迹册·花溪渔隐图》,明崇祯,http://www.dpm.org.cn/Uploads/File/2017/12/01/15121102728726.jpg,织绣画,顾绣,《韩希孟绣宋元名迹册·花溪渔隐图》，明崇祯，纵33.4厘米，宽24.5厘米。此图为《韩希孟绣宋元名迹册》之第八幅，在白色绫地上绣成。绣品画面由远山、江水和岸滩构成，空间处理繁简有致。起伏绵延的远山以其低矮之势而显旷远之意。江水浩渺，一渔者驾孤舟独钓寒江，在宽阔的江面衬映下备显孤单落寞。近处滩岸详加描绘，一草一木，细密清晰，犹现眼前，深得王蒙画树点勾渲染、一树一法之精髓。尤为醒目之处是在低矮的草木中一株老松拔地而起，遒劲卓立，在幽淡空寂的氛围中平添突兀勃兴之昂然意韵。此幅绣品中使用了多种针法，用擞和针与抢针绣山石树干，以齐针绣柳树枝叶并勾路石边线，用松针绣松叶，用网针绣船篷。湖石和坡地以淡彩渲染敷色，绣、画并用。绣工精细而不板滞，以细如毫发的丝线充分表现了原作笔墨的枯润、笔锋的藏露和线条的圆折等绘画技法。然而，针线毕竟无法尽然替代笔墨，原作层峦叠嶂、繁复苍逸、“望之郁然深秀”的墨韵尚不能在绣品中充分展现，这是不同艺术领域和艺术手法的局限性使然，不可苛求。对页为董其昌题诗：“何必熒熒，山高水空。心轻似叶，松老成龙。经纶无尽，草碧花红。一竿在手，万叠清风。”
