文物名称,时代,图片链接,分类,窑口,文物简介
磁山文化红陶小口瓶,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24897.jpg,红陶,磁山文化,红陶小口瓶，新石器时代磁山文化，高23.8厘米 口径5.2厘米 底径5.6厘米。瓶撇口，束颈，颈以下渐广，至腹中部直径最大。腹部置双系，腹以下渐内收，平底。泥质红陶。以手制成型，胎体薄厚不均，具有新石器时代中期陶器的特征。磁山文化因最初于1972年发现于河北省武安县磁山村而得名。据科学测试，其年代约为公元前6000～前5600年，属于华北地区新石器时代中期文化遗存。从这件小口瓶的陶质和形制分析，可能是一件盛水器。
磁山文化红陶三足钵,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24895.jpg,红陶,磁山文化,红陶三足钵，新石器时代磁山文化，高8.1厘米，口径21.3厘米，足距15厘米。钵敞口，圜（huán 音环）底，下承以三足。泥质红陶。此钵制作方法比较原始，系采用泥条盘筑和捏塑法成型，器形欠规整，器壁凹凸不平。此种三足钵是磁山文化陶器中的典型器物。泥条盘筑法是最古老的陶器制作法之一。将制作陶器的粘土搓成细条状，然后从器底起依次将泥条盘筑成器壁直至器口，再用泥浆把缝隙抹平粘合的过程。为了使器壁均匀结实，人们会进一步一手在器内持陶垫或卵石顶住器壁，一手在器外持陶拍拍打，然后再入窑烧制。尽管如此，器形不规整，器壁不均匀仍是泥条盘筑法制陶的最大特点。
磁山文化灰陶深腹双耳罐,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24904.jpg,灰陶,磁山文化,灰陶深腹双耳罐，新石器时代磁山文化，高15.2厘米，口径13.8厘米，底径6厘米。罐直口，深腹，下腹内收，平底。腹中部有对称的圆形饰物，器身有麻布纹。磁山文化陶器以红陶为主，也有少量泛灰色的器物，有泥质与夹砂两种。灰陶多出现于新石器时代中期，至新石器时代晚期已成为陶器中的主流产品，夏商周时期更是大量烧造。灰陶的形成是因为陶器在弱还原气氛中烧造，陶土中的氧化铁不能被充分氧化，因而呈现出氧化亚铁的颜色。
磁山文化红陶盂及支座,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24900.jpg,红陶,磁山文化,红陶盂及支座，新石器时代磁山文化，通高20厘米。盂：高9.5厘米，口径10.5厘米，底径11.3厘米。支座：10.5厘米。盂（yú 音于），平底，底径略大于口径，口两侧有圆形饰物。夹砂红陶，表面粗糙。支座由三个独立的支架组成，支架上有类似四边形支托，下为圆形圈足。盂可以用来盛放食物与水，当它放到支座上时，就可以被加热。陶土里夹砂能够提高陶器的耐急热、急冷性能。在磁山文化陶器中，支撑炊器的支架颇具特色。红陶出现较早，在新石器时代早期遗址中已有发现。河北武安磁山文化、河南新郑裴李岗文化等新石器时代中期文化均以烧造红陶为主。夏、商以后，红陶的烧造逐渐衰落。
磁山文化红陶深腹双系罐,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24899.jpg,红陶,磁山文化,红陶深腹双系罐，新石器时代磁山文化，高14.4厘米，口径9.5厘米，底径6厘米。罐撇口，深腹，平底，肩部置双系。通体刻划纹饰，颈部纹饰为正反三角纹，肩、腹部装饰简单的麦穗样纹饰。这样简单的刻划纹饰反映了新石器时代早、中期陶器装饰纹样比较简单的特点。磁山文化因最初于1972年发现于河北省武安县磁山村而得名。据科学测试，其年代约为公元前6000—前5600年，属于华北地区新石器时代中期文化遗存。罐上的双系是为了悬挂或携带方便而设置的。
仰韶文化彩陶几何纹盆,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/16326.jpg,彩陶,仰韶文化半坡类型,彩陶几何纹盆，新石器时代仰韶文化半坡类型，高16.4厘米，口径37.4厘米。盆折沿，深直腹，圜底。泥质红陶。口沿及外腹部均以黑彩描绘纹饰，口沿上描绘以点定位的水波纹，腹部描绘两层三角形几何纹，两层三角形纹饰的大小及形状相同，但方向相反。可能是由鱼纹逐渐抽象演变而来。此彩陶盆的造型和纹饰具有新石器时代仰韶文化半坡类型（约公元前4800～前3900年）彩陶的典型特征。鱼纹是仰韶文化半坡类型彩陶中的常见纹饰，著名的西安半坡人面鱼纹彩陶盆描绘的就是一个人脸口衔鱼的形象，可见鱼和半坡人们生活的联系。
龙山文化黑陶单把杯,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/14005.jpg,黑陶,龙山文化,黑陶单把杯，新石器时代，口径8厘米，足径8厘米，高12.5厘米。杯呈筒形，腹间微收，平底，杯身一侧有扁形把，便于持拿。杯为轮制而成，杯身均匀地分布三道弦纹。此杯具有龙山文化黑陶的典型特点，器表漆黑如墨，器壁薄如蛋壳，反映出当时制陶技术已达到较高的水平。
马家窑文化彩陶弦纹瓶,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/14003.jpg,彩陶,马家窑文化马家窑类型,彩陶弦纹瓶，口径8厘米，足径6.5厘米，高21.5厘米。瓶陶质，敞口，束颈，鼓腹，腹下渐收，平底。器表光滑，上腹部彩绘弦纹六周，纹饰简洁明快，朴素大方，有很强的装饰性。此类弦纹是马家窑文化中马家窑类型彩陶的常见纹饰。
黑陶高柄杯,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/14004.jpg,黑陶,龙山文化,黑陶高柄杯，新石器时代，龙山文化，口径7厘米，足径6厘米，高15厘米。杯敞口，束腰，高柄足外撇，平底。杯身有凸出的弦纹为饰，高柄中空，柄外壁镂三孔。因采用了轮制方法，器壁较薄，素面磨光，配以镂空等多种工艺手法，制作十分考究，是一件精致的饮酒用具，一般在高等级的贵族墓中出土，做礼器。
齐家文化红陶双耳罐,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/13997.jpg,红陶,齐家文化,红陶双耳罐，新石器时代，齐家文化，口径8厘米，足径4.5厘米，高12.2厘米。罐泥质红陶，手制而成。敞口，束腰，折腹，平底，口沿至腹部有对称的单鋬耳，器身无纹饰。齐家文化陶器多为素面，彩绘极少。此罐造型优美，设计巧妙，制作精致，具有实用功能。
彩陶漩涡纹双耳罐,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/2850.jpg,彩陶,马家窑文化半山类型,彩陶漩涡纹双耳罐，新石器时代马家窑文化半山类型，高37厘米，口径10厘米。罐小口，圆腹，腹侧安双环耳，平底。胎呈暗红色。肩及上腹部以宽肥的黑彩条带和细窄的锯齿状条带构成漩涡纹，利用弧线的起伏旋转表现河水奔腾向前的韵律感。这种将柔和的弧线和醒目的圆点相结合构成二方连续的装饰带，是马家窑文化的典型构图方式。
彩陶钵,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/3487.jpg,彩陶,马家窑文化马家窑类型,彩陶钵，马家窑文化马家窑类型，高9.6厘米，口径21.3厘米。钵敛口，折沿，鼓腹，腹以下渐敛，小平底。橙黄色泥质陶，表面打磨光滑。钵内、外及口沿均以黑彩描绘纹饰。钵内饰以底为中心的漩涡纹，外壁为波浪纹，口沿为三组菱形网格纹。此器造型饱满，图案线条流畅，是马家窑类型彩陶的典型器。马家窑文化的突出特点是彩陶特别发达，而且可以分为马家窑、半山、马厂三个类型，分别代表三个发展时期。马家窑类型彩陶造型有壶、罐、瓶、钵、盆等，多为细泥橙黄色陶，器表打磨光滑，多以黑彩描绘条带纹、圆点纹、波纹、漩涡纹、方格纹、人面纹、蛙纹、舞蹈纹等，构图严谨，笔法娴熟。图案设计采用以点定位的方法，使画面充分展开，尽情变化，具有强烈的韵律感。时至今日，马家窑文化彩陶上古老的母题仍不失其迷人的魅力，那流畅的线条所产生的韵律感仍带给我们以美的享受。
龙山文化红陶鬹,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/2317.jpg,红陶,龙山文化,红陶鬹，高39厘米，口径11.9厘米。鬹胎为泥质红陶，冲天长流，细长颈，三个大袋足分裆而立，颈与后袋之间附一个麻花状鋬手，便于提拿。器物造型遒劲有力，似挺立之雄鸡。鬹是龙山文化最具特色的器物种类之一。此鬹为龙山文化陶器中的精品。
马家窑文化彩陶蛙纹壶,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/2291.jpg,彩陶,马家窑文化马厂类型,彩陶蛙纹壶，新石器时代马家窑文化马厂类型，高42厘米，口径13.1厘米。壶泥质红陶，口外侈，薄唇，球形腹，小平底，腹部两侧对称置双系。于橙红色陶衣上以黑彩描绘变形蛙纹。图案线条流畅，富于变化，与造型协调一致。据科学测试，马家窑文化马厂类型彩陶的年代约为公元前2200～前2000年。变形蛙纹作为马家窑文化马厂类型彩陶上常见的装饰纹样之一，体现了远古人们对于繁衍生殖的渴望。青蛙产下许多卵，孵出许多蝌蚪，正是繁衍旺盛的象征。
白陶刻几何纹瓿,商,http://www.dpm.org.cn/Uploads/Picture/dc/24995.jpg,白陶,未知,白陶刻几何纹瓿，商，高20厘米，口径18.6厘米，足径15厘米。瓿（bù 音不）唇口外卷，溜肩，鼓腹，腹下渐收，近足处外撇，圈足。通体雕刻纹饰，以精细的回纹作地衬托几何纹，主次分明，错落有致，显得格外庄重精美。白陶早在新石器时代晚期就已出现。至商代，由于烧成温度提高，原料的淘洗亦较精细，致使白陶质地更加洁白细腻。商代早期白陶器形以鬹（guī音归）、盉（hé音禾）、爵为主，纹饰有人字形纹、拍印的绳纹和附加堆纹等。商代中期，器物增加了豆、罐、钵等，其装饰除少数绳纹外，以素面磨光为多。商代后期是白陶烧制的鼎盛期，在黄河流域的商代晚期遗址与墓葬中均发现不少白陶，其中以河南安阳殷墟出土的白陶最具特点，器物有觯（zhì音制）、壶、尊、卣（yǒu音有）等酒器和鼎、豆、盘、簋（guǐ音轨）等食器。纹饰常见有云雷纹、漩涡纹、饕餮（tāo tiè 音涛帖）纹、蝉纹、曲折纹、夔（kuí音奎）纹等。特别是将细腻的雕刻作为白陶的主要装饰技法，显示了商代后期白陶的高度发展水平。以回纹作地衬托几何纹也是青铜器上装饰的常用方法，以此显示出纹饰的层次感，从而显得华丽繁缛，更有甚者，纹饰的层次可达到三层以上。
灰陶刻划三角纹双系罐,商,http://www.dpm.org.cn/Uploads/Picture/dc/24804.jpg,灰陶,未知,灰陶刻划三角纹双系罐，商，高14.5厘米，口径10.1厘米，足径9.4厘米。罐撇口，短颈，溜肩，鼓腹，腹以下渐内收，圈足外撇，底部微向外凸。腹部对称置双系，系中间有一小圆孔。腹部刻划正反三角纹饰。此罐造型古朴，装饰简练，堪称商代灰陶中的典型作品。灰陶的形成是因为陶器在弱还原气氛中烧造，陶土中的氧化铁不能被充分氧化，因而呈现出氧化亚铁的颜色。灰陶于新石器时代中期已经出现，商代有较大发展，产量很大。
灰陶盉,商,http://www.dpm.org.cn/Uploads/Picture/dc/24749.jpg,灰陶,未知,灰陶盉，商，高12.3厘米，口径8.2厘米，足距4.8厘米。盉（hé音禾）直口微外撇，肩部一侧置管状流，对应一侧为牺首形柄。圜底，下承以三足。肩、腹部分别饰二、四道弦纹。此件灰陶盉为商代遗物，其造型规整，胎质较细腻，肩、腹部装饰简单的弦纹。整个器物显得造型古朴，装饰简练。盉是古代的盛酒器，或说是古人调和酒、水的器具，在商代的陶器和青铜器中都可见到。盉的基本造型是深腹，圆口，前有流，后有柄。灰陶的形成是因为陶器在弱还原气氛中烧造，陶土中的氧化铁不能被充分氧化，因而呈现出氧化亚铁的颜色。灰陶于新石器时代中期已经出现，商代有较大发展，产量很大。
白陶刻饕餮纹双系壶,商,http://www.dpm.org.cn/Uploads/Picture/dc/24786.jpg,白陶,未知,白陶刻饕餮纹双系壶，商，高22厘米，口径9.2厘米，足径9.2厘米。壶口微内收，口以下渐广，下腹饱满，圈足。肩对称置圆孔系。与系对应的圈足上有两个圆孔。通体雕刻饕餮（tāo tiè 音涛帖）纹，图案清晰，雕刻技法娴熟。堪称商代晚期白陶的代表作。这件白陶壶原本破碎，现已修复。白陶早在新石器时代晚期就已出现。至商代，由于烧成温度提高，原料的淘洗亦较精细，致使白陶质地更加洁白细腻。商代早期白陶器形以鬹（guī音归）、盉（hé音禾）、爵为主，纹饰有人字形纹、拍印的绳纹和附加堆纹等。商代中期，器物增加了豆、罐、钵等，其装饰除少数绳纹外，以素面磨光为多。商代后期是白陶烧制的鼎盛期，在黄河流域的商代晚期遗址与墓葬中均发现不少白陶，其中以河南安阳殷墟出土的白陶最具特点，器物有觯（zhì音制）、壶、尊、卣（yǒu音有）等酒器和鼎、豆、盘、簋（guǐ音轨）等食器。纹饰常见有云雷纹、漩涡纹、饕餮（tāo tiè 音涛帖）纹、蝉纹、曲折纹、夔（kuí音奎）纹等。特别是将细腻的雕刻作为白陶的主要装饰技法，显示了商代后期白陶的高度发展水平。饕餮（tāo tiè音涛帖 ）是古代传说中一种贪食的恶兽，商周时期的青铜器上多用它的头部形状来作为装饰，称“饕餮纹”。用“饕餮纹”来命名青铜器上的这种图案化的兽面始于宋代的《宣和博古图》。
白陶刻纹豆,商,http://www.dpm.org.cn/Uploads/Picture/dc/24788.jpg,白陶,未知,白陶刻纹豆，商，高12.5厘米，口径22.7厘米，足径15.2厘米。豆浅腹，口沿较宽。口以下渐内收，下承以喇叭形高足。通体雕刻纹饰。口下雕刻凸弦纹，腹部雕刻仿青铜器上的云雷纹，高足中部雕刻钱纹，上下分别雕刻变形回纹和饕餮（tāo tiè 音涛帖）纹作辅助纹饰。修坯精细，形体线条刚劲有力。白陶早在新石器时代晚期就已出现。至商代，由于烧成温度提高，原料的淘洗亦较精细，致使白陶质地更加洁白细腻。商代早期白陶器形以鬹（guī 音归）、盉（hé 音禾）、爵为主，纹饰有人字形纹、拍印的绳纹和附加堆纹等。商代中期，器物增加了豆、罐、钵等，其装饰除少数绳纹外，以素面磨光为多。商代后期是白陶烧制的鼎盛期，在黄河流域的商代晚期遗址与墓葬中均发现不少白陶，其中以河南安阳殷墟出土的白陶最具特点，器物有觯（zhì 音智）、壶、尊、卣（yǒu 音有）等酒器和鼎、豆、盘、簋（guǐ 音轨）等食器。纹饰常见有云雷纹、漩涡纹、饕餮（tāo tiè 音涛帖 ）纹、蝉纹、曲折纹、夔（kuí音奎）纹等。特别是将细腻的雕刻作为白陶的主要装饰技法，显示了商代后期白陶的高度发展水平。在日常生活中，豆是用来盛放腌菜、肉酱等食物的器皿。在青铜器里，青铜豆还是一种礼器。
原始瓷青釉弦纹罐,商,http://www.dpm.org.cn/Uploads/Picture/dc/24736.jpg,原始瓷,未知,原始瓷青釉弦纹罐，商，高31.4厘米，口径20厘米，底径9.3厘米。罐口外折，短颈，溜肩，肩以下内收，平底。肩与腹部的过度有明显的折角。口内外饰弦纹，其中肩部饰凸起弦纹及锯齿纹共10道。表面施青釉，釉层薄而不匀。原始青瓷出现于约3000年前的商代，历经西周、春秋、战国、汉代，它是从陶向瓷过渡时期的产物，系从印纹硬陶发展而来。其制法是用瓷石制胎，器表施石灰釉，经1200℃高温焙烧而成。胎体烧结后呈灰白或褐色，器表有玻璃质釉层。胎体吸水率低，敲击时能发出清脆的声音。原始青瓷上的釉都呈青色，这是由于釉中含有适量氧化铁所致。原始青瓷最初发现于河南郑州二里岗下层文化遗址与湖北黄陂盘龙城商代中期墓中。河南安阳殷墟、辉县琉璃阁，山东济南大辛庄，河北藁（gǎo 音搞）城及江西清江吴城等商代晚期遗址中也都有出土。与东汉以后成熟的瓷器相比较，原始青瓷具有以下特点：烧成温度比瓷器低，器物成型多采用泥条盘筑法，器物造型不甚规整，胎体厚薄不均，器表釉层不均匀，釉层较薄，釉色不稳定。它与陶器虽已有本质的区别，但在烧造工艺上与真正的瓷器相比还具有一定的原始性，故称“原始青瓷”。
白陶雕刻饕餮纹双耳壶,商,http://www.dpm.org.cn/Uploads/Picture/dc/17030.jpg,白陶,未知,白陶雕刻饕餮纹双耳壶，商，高22.1厘米，口径9.1厘米，足径8.9厘米。器敛口，腹微鼓，圈足，口下安双耳，足上有对称双孔。器身通体刻划饕餮纹。此器出土于河南省安阳市。其无论造型或纹饰，均模仿当时的青铜器，是商代白陶的典型器物。
原始瓷青釉划花双系罐,西周,http://www.dpm.org.cn/Uploads/Picture/dc/2326.jpg,原始瓷,未知,原始瓷青釉划花双系罐，西周，高13.1厘米，口径8.4厘米，底径8.3厘米。罐敛口，折腹，束腰，圈足。肩两侧各置一横系。肩部刻划水波纹及弦纹。罐身施青釉。此罐的造型如同鱼篓，小口，大腹，以增其容积。这是西周早期原始青瓷器的造型特征。此罐出土于河南省洛阳地区。原始青瓷出现于约3000年前的商代，历经西周、春秋、战国、汉代，它是从陶向瓷过渡时期的产物，系从印纹硬陶发展而来。西周时原始青瓷的制作工艺有所提高，出土范围更加广阔。江南地区原始青瓷的出土量及器形比北方黄河流域多且丰富。西周时，釉已成为瓷器的必要组成部分，不仅起隔水、利于清洁的作用，而且有装饰器物使之美观的功能。釉是一种玻璃体，由于其所含金属离子的作用，施于瓷器上，会产生各种颜色。原始青瓷上的釉都呈青色，这是由于釉中含有适量氧化铁所致。
原始瓷青釉四系洗,战国,http://www.dpm.org.cn/Uploads/Picture/dc/24766.jpg,颜色釉,未知,青釉原始瓷青釉四系洗，战国，高6.8厘米，口径21.3厘米，底径16.2厘米。洗圆口内敛，弧腹，平底。灰白色胎。口沿下对称置四系。器里和口沿可见斑驳不匀的青釉。洗有两种用途，一是盥洗器具，相当于盆。从汉至清代一直烧造，其中以宋、元时的磁州窑系和明、清时景德镇窑产量最大。二是文房用具，用于洗笔，故称笔洗。此洗应为盥洗器具。原始青瓷出现于约3000年前的商代，历经西周、春秋、战国、汉代，它是从陶向瓷过渡时期的产物，系从印纹硬陶发展而来。其制法是用瓷石制胎，器表施石灰釉，经1200℃高温焙烧而成。胎体烧结后呈灰白或褐色，器表有玻璃质釉层。胎体吸水率低，敲击时能发出清脆的声音。原始青瓷上的釉都呈青色，这是由于釉中含有适量氧化铁所致。原始青瓷与陶器虽已有本质的区别，但在烧造工艺上与真正的瓷器相比还具有一定的原始性，故称“原始青瓷”。
原始瓷青釉鐎斗,战国,http://www.dpm.org.cn/Uploads/Picture/dc/24842.jpg,原始瓷,未知,原始瓷青釉鐎斗，战国，高10.3厘米，口径16厘米，足距12.5厘米。鐎（jiāo音交）斗仿青铜器造型，腹部置横柄一个，底下承以三足。腹上部饰弦纹2周，器内外施青釉。鐎斗，又称“刁斗”，盛行于汉、晋。常与形状如钵、胎壁较厚、口沿置对称半环形双鼻的火盆共存，说明鐎斗被搁置于火盆上，盆中加放炭火即可用来温食，应是模仿“暖锅”而作。外出途中可作温食用具，军旅多用之。唐诗中有“行人刁斗风沙暗”句。原始青瓷出现于约3000年前的商代，历经西周、春秋、战国、汉代，它是从陶向瓷过渡时期的产物，系从印纹硬陶发展而来。
原始瓷青釉水波纹盖鼎,战国,http://www.dpm.org.cn/Uploads/Picture/dc/24829.jpg,原始瓷,未知,原始瓷青釉水波纹盖鼎，战国，高19厘米，口径19厘米，足距17厘米。鼎仿同时期青铜器造型，口沿下对称置双耳。直腹，平底，下承以外撇三足。器表施青釉，胎色灰白。鼎附圆形盖，盖顶中央置一小系，四周对称分布三个小纽。盖面施青釉，以三道弦纹为装饰带，其间刻划简单的水波纹。鼎最早是煮食用的陶质炊具，首见于新石器时代河南新郑裴李岗和河北武安磁山文化遗址，仰韶、龙山、屈家岭、马家滨、良渚文化等新石器时代遗址中也都有发现。商周时代的鼎多为青铜制品，并逐渐成为祭祀、征伐、丧葬等活动中陈设的一种礼器。战国至汉代出现铅釉陶和原始青瓷鼎，仿青铜器式样，多做随葬品。
