文物名称,时代,图片链接,分类,作者,文物简介
如意轮观音像残片,唐,http://www.dpm.org.cn/Uploads/Picture/dc/20210.jpg,人物,未知,如意轮观音像残片，唐，纸本，设色，纵28厘米，横30厘米。敦煌遗画。观音菩萨结跏趺坐，头戴宝冠，冠中有化佛。菩萨面相丰腴，双耳穿环，后有头光，身披袈裟，袒胸饰以璎珞；六臂，上两臂各持一圆轮，轮中分别有鸟、树代表的日、月，中两臂左手作说法印相，右手因漫漶不清印相不辨，下两臂左手持莲，右手持物不辨。右上侧有榜题一行：“救苦观世音菩萨”。左右各有一位女供养人，梳双髻，着暗红色长条裙。如意轮观音是密教所传六观音之一，其图像一般为六臂相。至于其手持之宝物及印相，则依经轨不同而有多种差异。据《如意轮瑜伽念诵法》所示：如意轮观音具六臂，全身金色，头上结宝顶髻，戴庄严冠，以示庄严。冠中化有阿弥陀佛，住于说法相。六臂表示能游于六道，以大悲心解除六道众生各种苦难。此画于1957年由上海邵洵美先生捐献故宫博物院，当时的包装还在，是用牛皮纸作卷筒包装，上有“故宫博物院文物征集处收／上海淮海中路1754／19邵洵美寄”字样，邮戳表明寄自1957年7月8日。
菩萨坐像残片,唐,http://www.dpm.org.cn/Uploads/Picture/dc/20209.jpg,人物,未知,菩萨坐像残片，唐，纸本，设色，纵5.5厘米，横22.5厘米。敦煌遗画。画面为一菩萨坐像的下半部。菩萨结跏趺坐，着朱红色袈裟，身佩璎珞。从像左侧残留的一角看来，其座为仰莲座，菩萨身后有身光。画面线条勾勒工细，以重彩层层晕染，显现出浓艳而沉稳的品质，此为9世纪敦煌画中常用的画法。由于这些画长期被封闭在藏经洞中，故色彩鲜艳如新。题跋：“敦煌千佛洞发现唐人残画佛像，李木斋氏麐嘉馆旧藏。敦煌唐画，世所希（稀）见。此为佛像一小段，可窥见用笔设色，至可宝也。己丑中秋何遂识。”下钤朱文“何遂”、白文“叙圃书画”印两方。此画残片于1955年由何遂先生捐献故宫博物院。据何遂题跋示曾被李盛铎麐嘉馆收藏。
宫苑图卷,唐,http://www.dpm.org.cn/Uploads/Picture/2017/04/21/s58f9a989c3ee3.jpg,山水,未知,《宫苑图》卷，传为唐人作品，绢本，设色，纵23.9厘米，横77.2厘米。本幅无款印。后幅吴景洲题跋，钤“瀛”、“景洲鉴定”印2方。此卷描绘古代宫苑中夏日景致，宫殿楼观、屋宇舟车纤若毫发，山石均以细笔勾出，略有皴斫，重青绿敷色，同时大量使用金线勾勒建筑物轮廓和网巾水纹，辉煌明丽，富有装饰性。此卷为吴瀛先生于1947年“倾囊得之”，1955年捐献故宫博物院，卷后有其长题，考定此卷为张丑《清河书画舫》中著录的“唐大李将军御苑采莲图”。后经有关学者考证，此卷为南宋人作，虽非出自李思训父子之手，但仍反映出早期青绿楼阁绘画的一些特点。
九成避暑图页,唐,http://www.dpm.org.cn/Uploads/Picture/dc/27514.jpg,山水,未知,《九成避暑图》页，传为唐人作品，绢本，设色，纵28.5厘米，横31.6厘米。本幅无款识。对幅清代乾隆皇帝题诗。钤乾隆内府诸收藏印。《石渠宝笈》著录。此幅为清宫旧藏，是故宫博物院庋藏的几幅时代较早、传为唐人的绘画作品之一。乾隆题诗中有“九成琼殿叠，百道玉泉翻”句，认为此图写九成宫。事实上，画面描绘的是贵族出行和游乐的场面，繁密富丽，充满亭台殿阁，其间人物、鞍马、舟车往来。画法虽具大小李将军“金碧山水”传派的特点，实为南宋画家所作。
京畿瑞雪图纨扇,唐,http://www.dpm.org.cn/Uploads/Picture/dc/27513.jpg,山水,未知,"《京畿瑞雪图》纨扇，传为唐人作品，绢本，设色，纵42.7厘米，横45.2厘米。本幅无款识，右裱边项子京题：“唐云麾将军李思训画京畿瑞雪图，宋宣和御府藏物也，定为神品第一。古胥山樵项圣谟获于梅花和尚塔前，得秘玩焉,百金亦勿与易。”裱边钤收藏印“平书珍赏”、“平泉书屋主人审定印”2方。扇面绘雪景楼阁，山水重青绿敷色，画法古拙，明显带有所谓李思训父子“金碧山水”传派的特点，与故宫收藏的另外两件传为唐人的楼阁作品《宫苑图》卷、《九成避暑图》页画风相近，并都曾被题为李思训作。这三幅画在清代以前均未见著录，也缺乏早期的收藏印记和题跋作为断代的佐证，而且目前尚无公认的唐代同类作品可资比较，因此，我们不能仅仅以其勾勒填色为主的质朴画法和追求简古的生拙风格便简单地断定为唐人作品。正因为缺乏断代依据，这三件作品的时代归属在学术界一直有不同看法。在这种情况下，通过画面上大量古代建筑所反映出的宫室形制来判定作品的创作时代就成为较为科学和行之有效的方法。有学者将画面中建筑装饰的细部，如：琉璃瓦、格子门、木牌坊和斗拱的形制作为“详辨古今之物，商较土风之宜”的有力物证，认为这三幅画所表现的建筑群非唐非宋，进而得出结论，断定它们不是唐人的作品，而是南宋“临安以外地区或民间画家所绘的装饰画”。"
周昉挥扇仕女图卷,唐,http://www.dpm.org.cn/Uploads/Picture/2017/04/01/s58defe50db398.jpg,人物,周昉,《挥扇仕女图》卷，传为唐周昉绘，绢本，设色，纵33.7厘米，横204.8厘米。无作者款印。引首清高宗弘历题“猗兰清画”四字。钤明韩世能 “韩世能印”、“韩仲子氏”、“世能”，清梁清标“蕉林书屋”、“蕉林居士”、“蕉林考藏”，清高宗弘历“古希天子”、“乾隆御览之宝”、“石渠宝笈”、“乾隆鉴赏”等鉴藏印，共31方。此图描绘了13位头挽高髻、细目圆面、长裙曳地的妃嫔和宫女形象。全幅以横向排列的形式展示了人物的各种活动：执扇慵坐、解囊抽琴、对镜理妆、绣案做工、挥扇闲憩等。作者注意画面横向疏密、松紧的韵律变化，纵向高低错落的层次变化，从而使得画面结构井然有序，并避免了构图上的单调呆板。图中色彩丰富，以红色为主，兼有青、灰、紫、绿等各色。冷暖色调相互映衬，显现出人物肌肤的细嫩和衣料的华贵。衣纹线条近铁线描，圆润秀劲，富有力度和柔韧性，较准确地勾画出了人物的种种体态。画家周昉出身于豪门显宦，因此，他对于贵族阶层绮靡奢华的生活非常熟悉。其仕女画不以烈女、贤妇、仙女等为表现对象，而是取材于现实生活中贵族妇女的行乐活动，具有强烈的时代感，从而迎合了中晚唐时期大官僚贵族们的审美意趣。其作品在张扬唐王朝繁华兴盛的物质生活的同时，亦揭示了贵妇们极度贫乏的精神世界。此图中嫔妃们体貌丰腴，衣饰华丽，但她们面含幽怨，举止慵倦，毫无生气。明张丑《清河书画舫》，清内府《石渠宝笈续编》，清阮元《石渠随笔》著录。
胡瓌卓歇图卷,五代,http://www.dpm.org.cn/Uploads/Picture/2018/10/30/s5bd7fb88a8d8b.jpg,人物,胡瓌,《卓歇图》卷，五代，胡瓌作(传)，绢本，设色，纵33厘米，横256厘米。该图旧传为五代契丹画家胡瓌作。据画中大多数人物髡顶、脑后垂双辫的发式和方顶黑巾等特点，当属金代女真人的风俗，故极可能出自金代汉族画家的手笔。全卷画女真贵族在狩猎歇息时邀南宋使臣宴饮观舞的情景。前半段为立歇部分，马背上的猎物点缀了人马刚从追逐和喧闹中转入了静态。马群的尽头是走向乐舞场地的捧花女，把歇息和乐舞两段有机地结合起来。舞蹈者在箜篌的伴奏下跳跃，构成全图的高潮，显示了作者处理大场面中人马动静、聚散的艺术能力，充满了浓厚的北方草原民族的生活气息。引首有清代张照书“番部卓歇圖”，乾隆帝作《卓歇歌》，尾纸有元代王时、清代高士奇、张照的跋文。该图经清阮元《石渠随笔》、高士奇《江村书画目》、清内府《石渠宝笈·续编》著录。
董源潇湘图卷,五代,http://www.dpm.org.cn/Uploads/Picture/2018/10/30/s5bd7fb88a8056.jpg,山水,董源,《潇湘图》卷，五代·南唐，董源作，绢本，设色，纵50厘米，横141.4厘米。本幅无作者款印，明朝董其昌得此图后视为至宝，并根据《宣和画谱》中的记载，定名为董源《潇湘图》，后入清宫内府收藏。“潇湘”指湖南省境内的潇河与湘江，二水汇入洞庭湖，“潇湘”也泛指江南河湖密布的地区。图绘一片湖光山色，山势平缓连绵，大片的水面中沙洲苇渚映带无尽。画面中以水墨间杂淡色，山峦多运用点子皴法，几乎不见线条，以墨点表现远山的植被，塑造出模糊而富有质感的山型轮廓。墨点的疏密浓淡，表现了山石的起伏凹凸。画家在作水墨渲染时留出些许空白，营造云雾迷濛之感，山林深蔚，烟水微茫。山水之中又有人物渔舟点缀其间，赋色鲜明，刻画入微，为寂静幽深的山林增添了无限生机。五代至北宋初年是中国山水画的成熟阶段，形成了不同风格，后人概括为“北派”与“南派”两支。董源此图被画史视为“南派”山水的开山之作。
周文矩文苑图卷,五代,http://www.dpm.org.cn/Uploads/Picture/dc/27456.jpg,人物,周文矩,《文苑图》卷，五代，周文矩作，绢本，设色，纵37.4厘米，横58.5厘米。本幅无作者款印，根据图左宋徽宗“瘦金体”题字：“韓滉文苑圖，丁亥御劄”，下书“天下一人”押，遂定为唐代韩滉作。然从时代风格看，少唐画气息，最明显的是衣纹线条颤动曲折，极似五代周文矩所创的“战笔描”。另外人物头戴的“工脚上翘”的幞头形式，亦至五代才出现。同时，美国大都会博物馆藏有一本周文矩的《琉璃堂人物图》卷，后半段画面与此图完全一样，故可肯定《文苑图》作者是周文矩，所画内容为琉璃堂人物故事。至于两图孰为原本？抑或均属摹本？据考，美国的《琉璃堂人物图》卷水平较差，人物面相稍欠神采，衣纹用笔颇见柔弱，且图首宋徽宗题“周文矩琉璃堂人物圖，神品上妙也”和下钤“ 內府圖書之印”均伪，故此图当为宋以后摹本。而《文苑图》人物神采奕奕，笔墨功力深厚，本幅右下角又有南唐墨钤“集賢院御畫印”，证明此图不会晚于五代，极可能即周文矩原迹，惟前半段已佚，也许周文矩又重临了后半段，亦不排除为同时高手临仿本。总之《文苑图》属五代真迹名品，殊无疑义。作品所绘琉璃堂人物故事，据考即唐玄宗时著名诗人王昌龄任江宁县丞期间，在县衙旁琉璃堂与朋友宴集的故事，与会者可能有其诗友岑参兄弟、刘眘虚等人。《文苑图》绘四位文士围绕松树思索诗句，有倚壘石持笔觅句者，有靠松干构思者，有两人并坐展卷推敲改诗者，情态各异，形神俱备。所缺前半段从《琉璃堂人物图》中可以看到，是画四人围坐议论，其中有一位僧人，还有侍奉的童仆。从全卷场面可领略当时宴集之盛况。此图画法与《琉璃堂人物图》及周文矩另一幅《重屏会棋圈》卷(宋摹本)相比较，风格相似，都呈周氏典型面貌，但水平却有高下之分。本图人物衣纹所运“战笔描”细劲有力，曲折中见流畅，圆润中具轻重，树石勾染细致，富层次和立面感，人物情态尤富神采，个性各异。作为五代一幅真迹，确反映了该时代所达到的水平。此图见于《石渠宝笈·初编》和明·詹景凤《玄览编》著录，可能曾入南唐后主李煜《阁中集》，后又入北宋徽宗《宣和睿览集》。
卫贤高士图卷,五代,http://www.dpm.org.cn/Uploads/Picture/2018/10/30/s5bd7fb88aa1e4.jpg,人物,卫贤,《高士图》卷，五代，卫贤作，绢本，设色，纵134.5厘米，横52.5厘米。本幅无款识，卷前有宋徽宗赵佶瘦金书标题“衛賢高士圖”，虽为立幅，但装裱成手卷形式，是北宋内府“宣和装”。描绘汉代隐士梁鸿与妻孟光“相敬如宾，举案齐眉”的故事。画家把梁鸿的居所安排在山环水绕的大自然中，全幅上半部为巨峰壁立，远山苍茫，下半部为竹树蓊郁，溪水潺潺。人物活动在画面中部，恰是观者的视觉中心：梁鸿端坐于榻，竹案上书卷横展，孟光双膝跪地，饮食盘盏高举齐眉。主人公神态坦然平和，虽房舍简陋、粗食布衣，但高人隐士志在山野的高洁志趣令人油然而生敬意。此图虽为主题人物画，实则集山水、人物、建筑画为一体。山石多用干笔皴擦，注意用墨色的深浅对比强调峰岫的凹凸和凝重的质感，石上干笔点苔的技法更是画家的独创。房屋和木栏栅篱用界笔描绘，结构交待严谨清楚，并能表现出一定的立体感和纵深关系，是今天我们能见到的传世卷轴画中年代最早的以界笔“植柱构梁”的建筑画迹之一。此图曾经宋周密《云烟过眼录》，明张丑《清河书画舫》、清孙承泽《庚子销夏记》、安岐《墨缘汇观》、《石渠宝笈·续编》、阮元《石渠随笔》等书著录，是一件递藏有绪、鉴定界公认的五代卫贤真迹。
阮郜阆苑女仙图卷,五代,http://www.dpm.org.cn/Uploads/Picture/2017/04/11/s58ec884d5ba2e.jpg,人物,阮郜,《阆苑女仙图》卷，五代，阮郜作，绢本，设色，纵42.7厘米，横177.2厘米。本幅无作者款印，根据历代著录和卷后跋语，此图流传有绪，是阮郜唯一的传世作品。本幅有清乾隆帝题诗。本幅及前后隔水有高士奇、乾隆、嘉庆、宣统内府诸收藏印记共22方，残印6方。“阆苑”是传说中仙人的住处，有时也指宫苑。此图描绘的当是仙山阆苑，为仙女生活游玩之地。图中描绘苍松翠竹间，一群女仙休闲的情景，其中三个地位显赫，在小仙女的陪侍下坐在一起，或执卷欲书，或展卷凝视，或拨弄三弦。四周有乘鸾女仙、乘龙女仙、驾云女仙，还有在海面上凌波漫步，缓缓而来的女仙，与地上群仙互为呼应。画中女仙体态纤弱，衣纹勾描细密圆软，一反唐周昉时代侍女之丰肥与衣纹线条之方硬。树枝多画成蟹爪状，画法略似李成。坡石以墨线勾，染青绿色。水纹繁复，刻划极为生动，有唐人遗风。清人高士奇在跋中云：“五代阮郜畫，世不多見。《閬苑仙女圖》曾入宣和御府，筆墨深厚，非陳居中、蘇漢臣輩所可比擬。”宋《宣和画谱》，清高士奇《江村消夏录》、《江村书画目》，卞永誉《式古堂书画汇考》，吴升《大观录》，内府《石渠宝笈·初编》等书著录。
药师如来像页,五代,http://www.dpm.org.cn/Uploads/Picture/dc/20212.jpg,人物,未知,药师如来像页，五代，纸本，设色，纵34厘米，横30厘米。敦煌遗画。本幅所绘为药师佛，结跏趺坐于莲花宝座上，内着绿地红色团花僧祇支，外披红色田相袈裟。左手持药钵，右手执两股六环杖头锡杖。背后有身光、头光。背景图案中的团花用淡红、紫红、黑色、绿色等色彩层层晕染勾勒。药师佛全称药师琉璃光如来。据佛经所示，他是东方琉璃国土上的教主。相传他在成佛时曾发下十二誓愿，愿除一切众生病苦，治无名痼疾，令一切众生身心安乐。由于药师佛能医治百病，解除各种顽疾苦痛，消灾延寿，因此历史上社会各阶层对药师如来的信仰很盛。药师如来的图像一般是结跏趺坐，左手持一药钵，右手举锡杖或执药丸或结定印，安坐或立于莲台上。敦煌藏经洞遗画中保留了不少药师如来像。此图与英国博物馆（The British Museum）藏ch.XXI.0015号藏品《药师如来像》、《五代水月观音像》的画法十分相似，应为同时期作品。此画由国家文物局调拨给故宫博物院，曾赴苏联展览。1959年故宫博物院成立历代艺术馆，此件作为历代艺术珍品在基本陈列中展出。《中国美术全集·隋唐五代卷》、《故宫博物院历代艺术馆陈列图目》二书收录。
